
==============================================================================
  SURFACE GRINDING CONTROLLER
==============================================================================
  robot              172.16.0.2
  parameters         /home/hm-panda/Desktop/Thesis_Final_Control/surface_grinding_controller/params
------------------------------------------------------------------------------

==============================================================================
  SURFACE GRINDING CONTROLLER - STARTUP MENU
==============================================================================

-- RUN MODES -----------------------------------------------------------------
  s      Run orientation, approach, setup, and grinding
  h      Cartesian pose hold at the initial posture
  t      Cartesian pose hold with the setup impedance
  g      Start manual guidance from the current robot pose

-- ROBOT PREPARATION ---------------------------------------------------------
  i      Move to the configured initial joint posture

-- GRIPPER AND TOOL ----------------------------------------------------------
  o      Open the gripper
  c      Grasp the tool
  r      Recalibrate the gripper with empty fingers
  f      Pick up the tool from the holder
  b      Return the tool to the holder

-- PROGRAM -------------------------------------------------------------------
  e      Exit
------------------------------------------------------------------------------
  During control: e = stop | m = startup menu | g = guidance
------------------------------------------------------------------------------
Selection [s/h/t/g/i/o/c/r/f/b/e]: 
-- moving to q_init ----------------------------------------------------------
  case               saved_qinit
  q1..q7 [deg]     = [0.8, 12.1, -0.5, -130.9, -0.2, 142.9, 44.7] deg
  saved_qinit = [0.014777, 0.210911, -0.009320, -2.284835, -0.002725, 2.493410, 0.780694] rad
  q_init reached.

-- SELECTED MODE: SETUP-IMPEDANCE HOLD ---------------------------------------
  spring             decoupled setup impedance
  nullspace          off, from nullspace.conf

-- start pose ----------------------------------------------------------------
  q_start          = [0.8, 12.1, -0.5, -130.9, -0.2, 142.8, 44.7] deg
  p_start          = [    531.1,       2.4,     157.0] mm

==============================================================================
  RUN
==============================================================================

-- phase: hold ---------------------------------------------------------------

-- setup impedance -----------------------------------------------------------
  law                f = Kp*e_p + Dp*de,  m = KR*e_R + DR*dw (decoupled)
  Kp [t1,t2,n]     = [   2000.0,    2000.0,    1000.0] N/m
  Dp [t1,t2,n]     = [     10.0,      10.0,     175.0] Ns/m
  KR [t1,t2,n]     = [     15.0,       5.0,      50.0] Nm/rad
  DR [t1,t2,n]     = [     10.0,      10.0,      10.0] Nms/rad
  tilt for s       = [     10.0,       0.0,      90.0] deg      about [t1,t2,n], commanded by the next sequence
  keys               kp1..kp3 <N/m> | kr1..kr3 <Nm/rad> | t1,t2 <deg>
                     s runs the sequence with them | t comes back here
hold:       t=  0.0 s | force=  1.0 N | pos_err=  0.2 mm | rot_err=  0.0 deg
hold:       t=  5.0 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t=  5.2 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t=  5.4 s | force=  1.3 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t=  5.6 s | force=  1.3 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t=  5.8 s | force=  1.3 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t=  6.0 s | force=  1.3 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t=  6.2 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t=  6.4 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t=  6.6 s | force=  1.3 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t=  6.8 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t=  7.0 s | force=  1.3 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t=  7.2 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t=  7.4 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t=  7.6 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t=  7.8 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t=  8.0 s | force=  1.3 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t=  8.2 s | force=  1.3 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t=  8.4 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t=  8.6 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t=  8.8 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t=  9.0 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t=  9.2 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t=  9.4 s | force=  1.3 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t=  9.6 s | force=  1.3 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t=  9.8 s | force=  1.3 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 10.0 s | force=  1.3 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 10.2 s | force=  1.3 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 10.4 s | force=  1.3 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 10.6 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 10.8 s | force=  1.3 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 11.0 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 11.2 s | force=  1.3 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 11.4 s | force=  1.3 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 11.6 s | force=  1.3 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 11.8 s | force=  1.3 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 12.0 s | force=  1.3 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 12.2 s | force=  1.3 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 12.4 s | force=  1.3 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 12.6 s | force=  1.3 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 12.8 s | force=  1.3 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 13.0 s | force=  1.3 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 13.2 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 13.4 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 13.6 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 13.8 s | force=  1.3 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 14.0 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 14.2 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 14.4 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 14.6 s | force=  1.3 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 14.8 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 15.1 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 15.3 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 15.5 s | force=  1.2 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 15.7 s | force=  1.3 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 15.9 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 16.1 s | force=  1.3 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 16.3 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 16.5 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 16.7 s | force=  1.3 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 16.9 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 17.1 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 17.3 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 17.5 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 17.7 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 17.9 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 18.1 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 18.3 s | force=  1.3 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 18.5 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 18.7 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 18.9 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 19.1 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 19.3 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 19.5 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 19.7 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 19.9 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 20.1 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 20.3 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 20.5 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 20.7 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 20.9 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 21.1 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 21.3 s | force=  1.5 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 21.5 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 21.7 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 21.9 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
hold:       t= 22.1 s | force=  1.4 N | pos_err=  0.0 mm | rot_err=  0.0 deg
